SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-26-2021,Single Family Residential,3934 Mindy St,Las Vegas,NV,89115,281000,3,2.0,Hammock Creek 3,1410,4356,2001,195,199,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3934-Mindy-St-89115/home/29862432,GLVAR,2273599,N,Y,36.2338601,-115.0889254
PAST SALE,April-29-2020,Single Family Residential,2416 Attributes Ct,North Las Vegas,NV,89031,245000,4,2.5,RENAISSANCE AT TIERRA DE LAS P,1623,3049,1998,526,151,150,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2416-Attributes-Ct-89031/home/29083291,GLVAR,2174055,N,Y,36.2480435,-115.1762944
PAST SALE,September-15-2020,Single Family Residential,514 Campus Oaks Ct,Las Vegas,NV,89183,396888,5,3.0,Canyons 3,2766,5663,2002,387,143,18,Sold,,,http://www.redfin.com/NV/Las-Vegas/514-Campus-Oaks-Ct-89183/home/29907551,GLVAR,2219253,N,Y,35.9967682,-115.1521151
PAST SALE,September-10-2021,Single Family Residential,6323 Cascade Cliffs Ct,Las Vegas,NV,89139,607000,5,3.5,Tradition 2 At Pinnacle Peaks,4147,4356,2015,27,146,18,Sold,,,http://www.redfin.com/NV/Las-Vegas/6323-Cascade-Cliffs-Ct-89139/home/92907713,GLVAR,2291633,N,Y,36.037604,-115.2308994
PAST SALE,September-24-2021,Single Family Residential,347 Foster Springs Rd,Las Vegas,NV,89148,559000,4,2.5,Parcel 14 At Rhodes Ranch,2405,3485,2006,13,232,155,Sold,,,http://www.redfin.com/NV/Las-Vegas/347-Foster-Springs-Rd-89148/home/29320493,GLVAR,2304221,N,Y,36.0411995,-115.2865135
PAST SALE,July-15-2021,Single Family Residential,1316 Grey Hunter Dr,North Las Vegas,NV,89031,351000,3,2.0,Eldorado-R1-65 #3,1467,6534,1990,84,239,10,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1316-Grey-Hunter-Dr-89031/home/29079090,GLVAR,2300503,N,Y,36.2655558,-115.1599898
PAST SALE,April-16-2021,Single Family Residential,4705 Crimson Leaf Dr,Las Vegas,NV,89130,340370,4,2.0,Crimson Ridge,1502,6098,1993,174,227,13,Sold,,,http://www.redfin.com/NV/Las-Vegas/4705-Crimson-Leaf-Dr-89130/home/29115627,GLVAR,2280062,N,Y,36.2445082,-115.2224012
PAST SALE,September-17-2020,Single Family Residential,7375 Falcon Rock Dr,Las Vegas,NV,89123,400000,4,2.5,McGuire Prop,2329,6970,1990,385,172,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7375-Falcon-Rock-Dr-89123/home/29613183,GLVAR,2215394,N,Y,36.0559099,-115.1335857
PAST SALE,April-8-2020,Single Family Residential,5501 Desert Vly,Las Vegas,NV,89149,300000,3,2.0,Painted Desert Parcel 16-A,1570,5663,1994,547,191,47,Sold,,,http://www.redfin.com/NV/Las-Vegas/5501-Desert-Valley-Dr-89149/home/29098711,GLVAR,2178943,N,Y,36.2613616,-115.2686403
PAST SALE,November-23-2020,Single Family Residential,3121 Cristobal Way,Las Vegas,NV,89117,300000,2,2.0,Bayside,1250,4792,1987,318,240,22,Sold,,,http://www.redfin.com/NV/Las-Vegas/3121-Cristobal-Way-89117/home/29533474,GLVAR,2244886,N,Y,36.1341318,-115.2824852
